danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.481,0.438,4,-7.186,0,0.0423,0.347,0,0.567,0.574,127.593,audio_features,0glf1RZy4GwcIKdCzoG5Si,spotify:track:0glf1RZy4GwcIKdCzoG5Si,https://api.spotify.com/v1/tracks/0glf1RZy4GwcIKdCzoG5Si,https://api.spotify.com/v1/audio-analysis/0glf1RZy4GwcIKdCzoG5Si,161080,4
0.549,0.722,11,-11.729,0,0.0283,0.25,0.0138,0.11,0.716,103.885,audio_features,14XWXWv5FoCbFzLksawpEe,spotify:track:14XWXWv5FoCbFzLksawpEe,https://api.spotify.com/v1/tracks/14XWXWv5FoCbFzLksawpEe,https://api.spotify.com/v1/audio-analysis/14XWXWv5FoCbFzLksawpEe,434720,4
0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,audio_features,2aoo2jlRnM3A0NyLQqMN2f,spotify:track:2aoo2jlRnM3A0NyLQqMN2f,https://api.spotify.com/v1/tracks/2aoo2jlRnM3A0NyLQqMN2f,https://api.spotify.com/v1/audio-analysis/2aoo2jlRnM3A0NyLQqMN2f,240800,4
0.367,0.215,0,-16.652,1,0.0288,0.517,0,0.618,0.266,98.742,audio_features,1jFhnVoJkcB4lf9tT0rSZS,spotify:track:1jFhnVoJkcB4lf9tT0rSZS,https://api.spotify.com/v1/tracks/1jFhnVoJkcB4lf9tT0rSZS,https://api.spotify.com/v1/audio-analysis/1jFhnVoJkcB4lf9tT0rSZS,215840,3
0.687,0.63,6,-10.817,1,0.0389,0.249,0,0.221,0.926,110.051,audio_features,4yQw7FR9lcvL6RHtegbJBh,spotify:track:4yQw7FR9lcvL6RHtegbJBh,https://api.spotify.com/v1/tracks/4yQw7FR9lcvL6RHtegbJBh,https://api.spotify.com/v1/audio-analysis/4yQw7FR9lcvL6RHtegbJBh,139733,4
0.533,0.781,2,-5.665,1,0.074,0.236,0.0225,0.154,0.785,177.917,audio_features,1YGKUHiQ6b4I6yXy9IONc5,spotify:track:1YGKUHiQ6b4I6yXy9IONc5,https://api.spotify.com/v1/tracks/1YGKUHiQ6b4I6yXy9IONc5,https://api.spotify.com/v1/audio-analysis/1YGKUHiQ6b4I6yXy9IONc5,304707,4
0.364,0.457,4,-14.162,0,0.0675,0.29,0.000106,0.922,0.175,163.219,audio_features,3ZFBeIyP41HhnALjxWy1pR,spotify:track:3ZFBeIyP41HhnALjxWy1pR,https://api.spotify.com/v1/tracks/3ZFBeIyP41HhnALjxWy1pR,https://api.spotify.com/v1/audio-analysis/3ZFBeIyP41HhnALjxWy1pR,337413,4
0.621,0.708,6,-9.057,1,0.0259,0.246,2e-06,0.143,0.624,110.533,audio_features,2SWBfqj1FrS8t8z56G55rP,spotify:track:2SWBfqj1FrS8t8z56G55rP,https://api.spotify.com/v1/tracks/2SWBfqj1FrS8t8z56G55rP,https://api.spotify.com/v1/audio-analysis/2SWBfqj1FrS8t8z56G55rP,193840,3
0.539,0.364,6,-13.56,0,0.0341,0.395,0,0.131,0.59,123.056,audio_features,0SMRck5oZi9hc16L6FuRF6,spotify:track:0SMRck5oZi9hc16L6FuRF6,https://api.spotify.com/v1/tracks/0SMRck5oZi9hc16L6FuRF6,https://api.spotify.com/v1/audio-analysis/0SMRck5oZi9hc16L6FuRF6,167773,4
0.249,0.66,0,-6.905,1,0.0342,0.504,0.0026,0.0891,0.435,149.813,audio_features,3qitymULqEibr7yknRMKU4,spotify:track:3qitymULqEibr7yknRMKU4,https://api.spotify.com/v1/tracks/3qitymULqEibr7yknRMKU4,https://api.spotify.com/v1/audio-analysis/3qitymULqEibr7yknRMKU4,248947,4
0.455,0.827,10,-6.595,1,0.158,0.735,0,0.124,0.644,194.864,audio_features,7bDxiHrazDoD3sOt9JjSDD,spotify:track:7bDxiHrazDoD3sOt9JjSDD,https://api.spotify.com/v1/tracks/7bDxiHrazDoD3sOt9JjSDD,https://api.spotify.com/v1/audio-analysis/7bDxiHrazDoD3sOt9JjSDD,165067,4
0.647,0.513,7,-12.372,1,0.0421,0.758,8.64e-06,0.108,0.955,131.641,audio_features,39zODpVtRvghMyfNjZ3BVK,spotify:track:39zODpVtRvghMyfNjZ3BVK,https://api.spotify.com/v1/tracks/39zODpVtRvghMyfNjZ3BVK,https://api.spotify.com/v1/audio-analysis/39zODpVtRvghMyfNjZ3BVK,139640,4
0.703,0.478,7,-8.062,1,0.0441,0.626,0,0.113,0.734,117.562,audio_features,0NpvdCO506uO58D4AbKzki,spotify:track:0NpvdCO506uO58D4AbKzki,https://api.spotify.com/v1/tracks/0NpvdCO506uO58D4AbKzki,https://api.spotify.com/v1/audio-analysis/0NpvdCO506uO58D4AbKzki,152160,4
0.638,0.428,9,-12.156,0,0.0687,0.252,0,0.132,0.901,139.434,audio_features,6RJK553YhstRzyKA4mug09,spotify:track:6RJK553YhstRzyKA4mug09,https://api.spotify.com/v1/tracks/6RJK553YhstRzyKA4mug09,https://api.spotify.com/v1/audio-analysis/6RJK553YhstRzyKA4mug09,112800,4
